
la commune,les années,Température à 2m Max   ( c ),la températue moyenne      ( c ),Température  à 2 m min     ( c ),Somme totale corrigée des précipitations (mm),Direction du vent sur 2 m  (°),Direction du vent sur 10m (°),Direction du vent sur 50m(°),vitesse du vent à 2 m  (m/s),vitesse du vent sur 10m(m/s),vitesse du vent sur 50m(m/s),Humidité spécifique à 2 mètres (g/kg),Humidité Relative (%),préssion de surface (kPa),Température du sol ( c ),Humidité de surface du sol,Humidité du profil du sol,Humidité de la zone racinaire du sol ,Température du thermomètre à bulbe humide à 2mèttre ( c),Point de rosée/gel à 2 mètres           ( C ),Irradiance directe normale descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance descendante de courte longueur d'onde en surface sous ciel clair (kW-hr/m²/jour),Irradiance diffuse de courte longueur d'onde en surface sous toutes conditions météorologiques (kW-hr/m²/jour),Irradiance UVA de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance UVB de Surface sous Toutes Conditions Météorologiques (W/m^2),Irradiance Totale de la Radiation Photosynthétiquement Active de Surface sous Toutes Conditions Météorologiques (W/m²),totale palmiers productifs,production  (Qx),Rendement (Quintal /palmier),la production de la commune (Kg),Rendement des dattes (Kg/palmier),palmiers productifs de variété Deglet Nour (Nombre),production  de la variété Deglet Nour (Qx°,productin    (kg) ,le rendement de la variété Deglet Nour (kg/palmier)
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,115950,125910,1.085899094,12591000,108.5899094,73500,88200,8820000,120
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,116200,246521,2.121523236,24652100,212.1523236,73700,224000,22400000,303.9348711
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,116200,158027.5,1.359961274,15802750,135.9961274,73700,117900,11790000,159.972863
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,118580,156570,1.320374431,15657000,132.0374431,75980,113970,11397000,150
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,118720,128627,1.08344845,12862700,108.344845,76120,86777,8677700,114.0002627
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,120100,166471,1.386103247,16647100,138.6103247,77500,120111,12011100,154.9819355
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,120800,167130,1.38352649,16713000,138.352649,78200,120530,12053000,154.1304348
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,120800,167130,1.38352649,16713000,138.352649,78200,120530,12053000,154.1304348
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,120800,142224,1.177350993,14222400,117.7350993,78200,96424,9642400,123.3043478
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,121100,154500,1.27580512,15450000,127.580512,78500,108350,10835000,138.0254777
El ghrous,2007,45.36,45.4,-0.04,121.29,353.38,352.62,350.62,13.49,17.88,22.42,6.41,47.25,98,20.87,0.3,0.36,0.35,13.21,6.37,6.05,5.48,5.96,1.81,12.81,0.27,102.05,127740,182020,1.42492563,18202000,142.492563,112112,124810,12481000,111.3261738
,2008,46.41,46.81,-0.4,131.84,345,343,337.06,11.9,15.66,18.88,6.16,45.62,97.97,21.2,0.27,0.35,0.34,12.96,5.69,6.05,5.49,5.92,1.84,12.82,0.28,102.38,108580,92290,0.849972371,9229000,84.99723706,112112,124810,12481000,111.3261738
,2009,45.92,46.01,-0.09,195.12,335.5,333.5,328.5,11.87,15.66,19.62,6.53,48.5,97.89,20.56,0.33,0.38,0.37,13.22,6.61,6.34,5.55,6.02,1.73,13.03,0.28,103.28,123050,97653,0.793604226,9765300,79.36042259,107450,81662,8166200,76
,2010,45.65,46.93,-1.28,131.84,327,325.5,320.19,12.8,16.88,20.62,6.41,45.06,97.75,21.51,0.28,0.35,0.34,13.41,6.29,6.06,5.45,5.95,1.79,12.83,0.27,101.92,152600,135240,0.886238532,13524000,88.62385321,130000,117000,11700000,90
,2011,46.44,46.49,-0.05,174.02,355.44,353.38,348.5,11.08,14.56,17.5,6.71,48.44,98.03,21.26,0.29,0.35,0.34,13.66,7.05,6.22,5.51,5.94,1.74,12.97,0.28,103.16,158300,140306,0.886329754,14030600,88.63297536,135000,121500,12150000,90
,2012,47.7,48.96,-1.26,73.83,342.12,340.69,336.62,11.46,15.09,18.59,6.1,44.38,98.01,21.68,0.27,0.35,0.34,13.19,5.64,6.32,5.59,5.99,1.77,13.09,0.28,104.09,162300,187020,1.152310536,18702000,115.2310536,139000,166800,16680000,120
,2013,44.35,44.95,-0.6,152.93,335.88,334.81,331.06,11.77,15.52,18.75,6.29,45.38,97.91,21.15,0.28,0.35,0.34,13.13,6.05,6.24,5.51,5.98,1.73,12.98,0.28,103.01,162300,187020,1.152310536,18702000,115.2310536,139000,166800,16680000,120
,2014,46.3,45.45,0.84,84.38,337.31,335.75,331.12,11.93,15.63,19.04,6.1,43.69,97.91,21.7,0.27,0.35,0.34,13.29,5.79,6.18,5.49,5.97,1.75,12.9,0.27,102.62,163450,149779,0.916359743,14977900,91.6359743,140000,112024,11202400,80.01714286
,2015,45.92,46.02,-0.1,73.83,346.94,344.81,340.06,10.74,14.22,17.36,6.16,43.75,98.16,21.73,0.24,0.34,0.34,13.19,5.72,6.3,5.55,5.98,1.73,13,0.27,103.52,163450,245897.5,1.504420312,24589750,150.4420312,140000,224000,22400000,160
,2016,44.8,43.08,1.73,116.02,342.69,341.19,336.94,11.29,14.95,18.12,6.23,43.69,98.03,21.97,0.25,0.35,0.34,13.44,5.95,6.23,5.54,5.96,1.76,12.99,0.28,103.43,165795,236712,1.427739075,23671200,142.7739075,141835,212752,21275200,149.9996475
,2017,46.4,46.44,-0.04,73.83,358.44,355.25,348.75,11.88,15.38,18.4,6.1,44,98.12,21.53,0.24,0.34,0.34,13.05,5.61,6.43,5.58,6,1.71,13.07,0.28,104.07,178209,199487,1.119399132,19948700,111.9399132,154249,175845,17584500,114.0007391
,2018,46.89,47.53,-0.64,84.38,337.44,336.25,332.69,12.55,16.5,19.83,6.47,45.81,97.91,21.51,0.27,0.34,0.34,13.4,6.37,6.06,5.45,5.97,1.82,12.85,0.27,102.1,183960,272960,1.483800826,27296000,148.3800826,160000,249000,24900000,155.625
,2019,48.35,47.41,0.94,131.84,346.25,344.88,341.12,11.94,15.66,19.84,6.29,44.81,97.96,21.62,0.27,0.35,0.34,13.33,5.95,6.3,5.57,6.01,1.78,13.1,0.28,103.95,184710,274360,1.485355422,27436000,148.5355422,160750,249860,24986000,155.4339036
,2020,46.94,48.03,-1.09,116.02,350.06,348.31,342.75,10.64,13.73,16.45,6.41,44.31,98.07,22.08,0.27,0.35,0.34,13.77,6.42,6.3,5.56,5.99,1.76,13.04,0.29,104.03,184710,274360,1.485355422,27436000,148.5355422,160750,249860,24986000,155.4339036
,2021,49.09,50.9,-1.81,80.76,348.69,346.5,339.31,10.72,14.23,17.45,6.16,42.56,97.98,22.74,0.23,0.34,0.34,13.76,5.76,5.9,5.5,5.93,1.95,12.73,0.27,102.69,184710,221307,1.198132207,22130700,119.8132207,160750,195800,19580000,121.8040435
,2022,47.38,47.93,-0.55,102.23,356.38,354.12,348.06,11.24,14.79,18.03,6.16,41.19,98.07,22.88,0.23,0.34,0.34,13.81,5.72,6.05,5.52,5.94,1.87,12.86,0.28,103.34,184960,241017,1.303076341,24101700,130.3076341,161000,207617,20761700,128.9546584
lioua,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,186850,112010,0.599464811,11201000,59.94648113,102150,34150,3415000,33.43122859
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,186850,149480,0.8,14948000,80,102150,34150,3415000,33.43122859
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,189996,164526.85,0.86594902,16452685,86.594902,93229,84108.35,8410835,90.21693894
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,222588,171800,0.771829569,17180000,77.18295685,113334,87000,8700000,76.76425433
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,223997,175000,0.781260463,17500000,78.12604633,114063,87000,8700000,76.27363825
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,225456,197650,0.876667731,19765000,87.66677312,115514,104000,10400000,90.03237703
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,225456,127618,0.566043929,12761800,56.60439287,115514,104000,10400000,90.03237703
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,226296,201120,0.888747481,20112000,88.87474812,115994,105500,10550000,90.95298033
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,229632,218553.04,0.951753414,21855304,95.17534142,116978,108789.54,10878954,93
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,240532,254970,1.060025277,25497000,106.0025277,124978,137470,13747000,109.9953592
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,255520,273109,1.068836099,27310900,106.8836099,139350,158859,15885900,114
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,249958,255170,1.020851503,25517000,102.0851503,133258,137470,13747000,103.1607858
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,250708,257080,1.025416022,25708000,102.5416022,134008,137950,13795000,102.9416154
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,250708,257080,1.025416022,25708000,102.5416022,134008,137950,13795000,102.9416154
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,250708,196698.6,0.784572491,19669860,78.45724907,134008,107750,10775000,80.40564742
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,253760,268700,1.058874527,26870000,105.8874527,136626,151700,15170000,111.0330391
Ourlal,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,141680,85273,0.601870412,8527300,60.18704122,38350,27370,2737000,71.36897001
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,141680,113350,0.800042349,11335000,80.0042349,38350,27370,2737000,71.36897001
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,141766,99558.56,0.702273888,9955856,70.2273888,38686,29401.36,2940136,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,166453,131300,0.788811256,13130000,78.8811256,45098,37500,3750000,83.15224622
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,167927,136700,0.814044198,13670000,81.40441978,45679,37500,3750000,82.09461678
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,168792,149150,0.883631926,14915000,88.36319257,46163,42000,4200000,90.98195525
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,168792,149150,0.883631926,14915000,88.36319257,46163,42000,4200000,90.98195525
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,169752,152660,0.899311937,15266000,89.93119374,46403,43000,4300000,92.66642243
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,173820,168662.7,0.970329651,16866270,97.03296514,48003,44642.79,4464279,93
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,179820,182250,1.013513514,18225000,101.3513514,53003,58250,5825000,109.8994397
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,190610,197108,1.034090551,19710800,103.4090551,60290,68730,6873000,113.9990048
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,194440,192000,0.987451142,19200000,98.74511417,62000,61000,6100000,98.38709677
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,195190,194710,0.997540858,19471000,99.75408576,62750,61200,6120000,97.52988048
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,195691,194930,0.996111216,19493000,99.61112162,63251,61420,6142000,97.10518411
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,195691,151800,0.775712731,15180000,77.57127308,63251,27800,2780000,43.95187428
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,199528,204300,1.023916443,20430000,102.3916443,65391,76300,7630000,116.6827239
M'lili,2007,47.18,46.03,1.15,110.74,21.62,22.75,24.56,11.37,15.1,19.13,6.41,43.69,100.56,22.38,0.27,0.35,0.34,14.19,6.76,6.05,5.48,5.96,1.81,12.81,0.27,102.05,138910,83140,0.598517025,8314000,59.85170254,42200,24950,2495000,59.12322275
,2008,48.08,47.74,0.34,100.2,39.25,41.88,43.69,12.26,16.07,19.37,6.23,42.94,100.54,22.49,0.25,0.34,0.34,13.92,6.22,6.05,5.49,5.92,1.84,12.82,0.28,102.38,138910,111130,0.800014398,11113000,80.00143978,42200,24950,2495000,59.12322275
,2009,47.22,46.2,1.01,226.76,0.31,4.56,5.69,11.22,14.9,17.87,6.65,46.81,100.46,21.73,0.33,0.38,0.37,14.18,7.3,6.34,5.55,6.02,1.73,13.03,0.28,103.28,139895,98028.81,0.700731334,9802881,70.07313342,39566,30070.16,3007016,76
,2010,47.27,47.34,-0.07,126.56,359.69,5.69,9.19,11.88,15.59,19.23,6.47,42.81,100.31,22.69,0.28,0.35,0.34,14.28,6.8,6.06,5.45,5.95,1.79,12.83,0.27,101.92,193086,145000,0.750960712,14500000,75.09607118,69292,49500,4950000,71.4368181
,2011,48.08,47.12,0.96,168.75,49.31,47.12,42.56,10.89,14.12,17.12,6.77,45.75,100.6,22.57,0.28,0.35,0.34,14.62,7.58,6.22,5.51,5.94,1.74,12.97,0.28,103.16,195187,152000,0.778740387,15200000,77.87403874,70046,49700,4970000,70.9533735
,2012,48.45,48.99,-0.54,52.73,13.5,15.94,18.75,11.47,14.81,18.33,6.04,41.25,100.57,23,0.25,0.34,0.34,14.07,5.99,6.32,5.59,5.99,1.77,13.09,0.28,104.09,199356,180070,0.903258492,18007000,90.32584923,72060,65000,6500000,90.20260894
,2013,45.21,44.68,0.53,142.38,359.81,3.19,5.75,11.9,15.63,18.96,6.35,42.56,100.47,22.5,0.27,0.34,0.34,14.11,6.55,6.24,5.51,5.98,1.73,12.98,0.28,103.01,199356,180070,0.903258492,18007000,90.32584923,72060,65000,6500000,90.20260894
,2014,47.23,45.34,1.89,79.1,20.31,22.88,22.88,11.45,14.81,17.97,6.23,41.38,100.47,23.05,0.26,0.35,0.34,14.26,6.34,6.18,5.49,5.97,1.75,12.9,0.27,102.62,200076,187860,0.938943202,18786000,93.89432016,72300,70000,7000000,96.81881051
,2015,47.19,46.68,0.51,58.01,42.75,41.94,39.94,10.18,13.38,16.2,6.29,41.25,100.72,23.05,0.22,0.34,0.34,14.17,6.27,6.3,5.55,5.98,1.73,13,0.27,103.52,203592,198750.55,0.976219842,19875055,97.62198416,73060,67945.8,6794580,93
,2016,46.25,43.77,2.48,94.92,15.81,18.06,18.81,10.51,13.82,16.45,6.23,40.94,100.59,23.34,0.23,0.34,0.34,14.37,6.37,6.23,5.54,5.96,1.76,12.99,0.28,103.43,208592,216100,1.03599371,21610000,103.599371,77060,80000,8000000,103.8152089
,2017,48.33,47.94,0.4,68.55,58.62,54.88,49.12,10.77,13.87,16.56,6.1,41.5,100.69,22.87,0.23,0.34,0.34,14,6.11,6.43,5.58,6,1.71,13.07,0.28,104.07,220660,230464,1.044430345,23046400,104.4430345,82600,94164,9416400,114
,2018,47.5,46.68,0.82,42.19,350.5,354.19,357.19,11.8,15.59,18.65,6.47,42.75,100.46,22.98,0.23,0.34,0.34,14.37,6.79,6.06,5.45,5.97,1.82,12.85,0.27,102.1,222577,218200,0.980334895,21820000,98.03348953,84000,82000,8200000,97.61904762
,2019,49.7,48.23,1.47,137.11,9.69,11.25,12.19,11.8,15.43,18.93,6.35,42.44,100.52,22.98,0.25,0.34,0.34,14.29,6.5,6.3,5.57,6.01,1.78,13.1,0.28,103.95,223327,222020,0.994147595,22202000,99.41475952,84750,82280,8228000,97.08554572
,2020,48.19,49.21,-1.02,94.92,33.06,34.56,33.75,11.04,14.43,17.43,6.47,41.69,100.63,23.44,0.25,0.34,0.34,14.73,6.94,6.3,5.56,5.99,1.76,13.04,0.29,104.03,223327,222020,0.994147595,22202000,99.41475952,84750,82280,8228000,97.08554572
,2021,50.85,52.24,-1.39,71.46,82,76.75,69.75,10.16,13.4,16.51,6.23,39.88,100.54,24.01,0.22,0.34,0.34,14.63,6.16,5.9,5.5,5.93,1.95,12.73,0.27,102.69,223327,178875,0.800955549,17887500,80.09555495,84750,42080,4208000,49.6519174
,2022,49.35,47.83,1.52,75.94,74.88,72.88,71.5,11.15,14.64,18.03,6.16,38.62,100.63,24.23,0.21,0.34,0.34,14.71,6.12,6.05,5.52,5.94,1.87,12.86,0.28,103.34,228990,241831,1.056076685,24183100,105.6076685,87462,95189,9518900,108.8346939
















,localisation,
la commune,longitude,laltitude
Tolga ,5.3847,34.7173
El-hadjeb,5.5944,34.7879
Boucagroun,5.4693,34.718
Bordj Ben Azzouz,5.3606,34.7048
Lichana,,
Foughala,5.3167,34.7185
El-Ghrous,5.2854,34.7032
Lioua,,
Ourllel,5.524,34.6607
Lioua,5.5569,34.6552
Mlili,,
